41	11	2	8	0	2	15	8	14	0	9	11	0	6	2
9	341	32	3	4	8	55	78	31	1	63	16	17	14	4
3	27	160	15	8	2	18	15	32	2	31	13	2	12	7
7	3	17	89	2	3	16	8	4	0	3	27	1	6	3
1	7	6	2	119	6	20	8	19	0	16	15	2	21	7
4	4	2	1	4	73	37	8	12	3	8	33	3	36	6
14	53	16	16	22	38	675	98	56	10	48	187	33	172	20
5	74	14	12	7	5	108	716	123	26	92	31	11	27	18
14	35	36	3	15	11	56	120	422	20	86	82	29	38	10
0	5	0	1	3	3	6	30	5	12	17	6	4	14	1
13	70	29	6	12	5	49	87	92	19	471	40	11	34	8
8	18	9	26	19	29	204	26	91	5	29	663	24	217	51
2	14	4	3	1	2	35	13	22	1	20	19	364	23	1
7	10	13	7	19	34	171	30	31	10	36	230	22	440	41
3	3	7	3	10	9	26	22	11	2	4	48	2	35	215
