20	89	150	56	0	122	113	143	94	0	116	129	0	153	159
99	37	86	210	203	139	135	105	145	274	100	245	144	230	258
123	93	27	67	103	200	170	171	102	139	102	195	302	178	140
59	206	62	20	152	120	133	173	214	0	242	100	315	186	158
181	155	120	156	23	98	136	199	112	0	120	154	256	114	118
88	199	201	214	120	27	97	193	137	93	165	100	202	84	124
117	136	178	133	127	94	57	137	159	127	168	105	152	96	169
182	108	177	144	211	242	132	47	100	74	113	241	246	227	167
96	137	97	252	126	143	161	102	47	74	103	130	133	168	196
0	120	0	144	93	91	163	67	144	31	77	159	119	91	205
98	96	106	175	139	209	170	117	100	74	43	183	212	175	216
152	231	234	103	135	106	102	263	123	177	214	55	176	85	105
185	159	213	185	358	245	149	226	152	241	156	198	27	158	454
144	273	171	175	119	86	98	216	185	111	169	82	162	52	103
132	300	141	161	99	101	151	152	187	149	305	109	324	112	27
